,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[228],8621.39,0.378762,57.1282,8525.87,8622.61,8712.89,22749.3,9.00776,1.00001
mu[229],8862.22,0.393816,60.0346,8760.51,8863.78,8958.41,23238.9,9.20162,1.00008
mu[230],8333.74,0.399371,60.3163,8232.71,8335.48,8429.87,22809.5,9.0316,0.999885
mu[231],7308.02,0.463603,68.9284,7196.17,7307.82,7421.87,22105.7,8.75293,0.99996
mu[232],9771.32,0.430626,65.3183,9664.48,9771.0,9879.16,23007.5,9.11001,1.00002
mu[233],8121.15,0.33797,50.0502,8042.65,8119.12,8206.98,21930.8,8.68368,1.00003
mu[234],8775.4,0.343785,49.8297,8694.0,8775.19,8857.85,21008.8,8.3186,1.0001
mu[235],9341.52,0.436345,67.1063,9229.72,9342.82,9450.16,23652.0,9.36519,0.999952
mu[236],10396.3,0.577356,87.6757,10253.9,10395.0,10542.3,23060.7,9.13105,0.999951
mu[237],8928.13,0.372173,54.7945,8838.34,8927.72,9018.59,21676.2,8.58288,1.00005
mu[238],8354.25,0.401476,60.1361,8251.75,8355.41,8449.51,22436.3,8.88383,0.999955
mu[239],8906.84,0.44509,67.8644,8792.99,8908.51,9016.54,23248.1,9.20527,0.999965
mu[240],8938.26,0.363685,54.0407,8851.23,8937.8,9028.59,22079.7,8.74261,1.00003
mu[241],7830.67,0.362986,52.4934,7745.96,7830.36,7918.3,20913.6,8.28091,1.0
mu[242],8536.62,0.420559,62.2083,8433.5,8536.77,8638.52,21879.7,8.66344,0.999902
mu[243],9919.02,0.584663,89.477,9772.48,9918.73,10067.3,23421.3,9.27386,0.999966
mu[244],7410.71,0.409753,62.2081,7308.88,7409.8,7513.32,23048.9,9.12638,0.99992
